Stock,Accumulation/Distribution Value,Stocks_Ranked
WY,-3.56,100.0
WMT,-3.58,101.0
ABBV,-3.62,102.0
ATVI,-3.74,103.0
VTRS,-3.8,104.0
CSCO,-3.89,105.0
MU,-3.98,106.0
HPQ,-4.04,107.5
ENPH,-4.04,107.5
FTV,-4.09,109.5
SYY,-4.09,109.5
NLOK,-4.1,111.0
INTU,-4.17,112.0
IVZ,-4.28,113.0
DD,-4.31,114.0
CFG,-4.34,115.5
VFC,-4.34,115.5
KMI,-4.4,117.0
DVN,-4.42,118.0
BBWI,-4.44,119.0
CMCSA,-4.46,120.0
CF,-4.47,121.0
PHM,-4.51,122.0
GIS,-4.67,123.0
SBUX,-4.75,124.0
PG,-4.81,125.0
DIS,-4.95,126.0
MRK,-5.23,127.0
MCHP,-5.26,128.0
ABT,-5.42,129.0
MGM,-5.48,130.0
UAL,-5.54,131.0
LYV,-5.67,132.0
KIM,-5.96,133.0
WRK,-5.98,134.0
CZR,-6.15,135.0
EXPE,-6.44,136.0
BKR,-6.52,137.0
COF,-6.58,138.0
PRU,-6.63,139.0
TSLA,-6.64,140.0
WMB,-6.87,141.0
AVGO,-6.94,142.0
KMX,-7.03,143.0
CARR,-7.09,144.0
LYB,-7.17,145.0
HCA,-7.45,146.0
MOS,-7.46,147.0
TROW,-7.54,148.0
NLSN,-7.63,149.0
SPG,-7.67,150.0
DHR,-7.76,151.5
KO,-7.76,151.5
XOM,-7.8,153.0
KR,-7.84,154.0
MPC,-7.91,155.0
IP,-8.03,156.5
IBM,-8.03,156.5
BMY,-8.34,158.0
FE,-8.36,159.0
CME,-8.43,160.0
LNC,-8.66,161.0
ADM,-8.78,162.0
CTVA,-9.03,163.0
HD,-9.05,164.0
ABC,-9.16,165.0
FAST,-9.62,166.0
LOW,-9.83,167.0
CNC,-9.89,168.0
PGR,-10.09,169.0
UA,-10.18,170.0
NI,-10.32,171.0
C,-10.84,172.0
NWSA,-10.93,173.0
PM,-11.15,174.0
CSX,-11.37,175.0
FITB,-11.5,176.0
MRO,-11.9,177.0
MET,-12.15,178.0
CMS,-12.17,179.0
WFC,-12.38,180.0
DG,-12.67,181.0
ANET,-12.98,182.0
EXC,-13.3,183.0
BEN,-13.5,184.0
HWM,-14.07,185.0
ADBE,-14.25,186.0
HST,-14.31,187.0
TTWO,-14.39,188.0
GE,-14.69,189.0
DHI,-14.82,190.0
NUE,-15.28,191.0
MA,-15.53,192.0
ADI,-15.55,193.0
ICE,-15.87,194.0
GILD,-15.9,195.0
FIS,-16.03,196.0
IPG,-16.48,197.0
ROST,-16.54,198.0
AAL,-16.58,199.0
PARA,-16.6,200.0
COST,-17.39,201.0
UPS,-18.05,202.0
KEY,-18.47,203.0
CAG,-19.31,204.0
MCD,-19.68,205.0
AXP,-19.99,206.0
UNH,-20.15,207.0
BSX,-20.3,208.0
BA,-21.12,209.0
SO,-21.56,210.0
PEP,-21.64,211.0
SPGI,-21.76,212.0
FISV,-21.93,213.0
LLY,-22.04,214.0
ETSY,-22.39,215.0
ALK,-23.2,216.0
HBAN,-23.24,217.0
TFC,-23.47,218.0
SCHW,-23.72,219.0
ADSK,-23.76,220.0
PEG,-24.56,221.0
CVS,-24.89,222.0
ORCL,-25.11,223.0
MRNA,-25.46,224.0
PYPL,-26.12,225.0
CTRA,-27.0,226.0
INTC,-27.66,227.0
OXY,-28.51,228.0
NEE,-29.13,229.0
LEN,-31.0,230.0
XRAY,-31.84,231.0
IR,-33.58,232.0
TWTR,-35.26,233.0
MDLZ,-35.7,234.0
LUMN,-38.7,235.0
FB,-39.98,236.0
TPR,-43.21,237.0
GS,-43.66,238.0
NKE,-45.81,239.0
VZ,-45.92,240.0
PFE,-49.08,241.0
NXPI,-49.92,242.0
CERN,-50.03,243.0
SLB,-56.68,244.0
WDC,-58.21,245.0
CNP,-76.25,246.0
LIN,-96.87,247.0
APA,-114.87,248.0
UAA,-198.29,249.0
V,-342.79,250.0
LUV,-365.58,251.0
