Stock,Accumulation/Distribution Value,Stocks_Ranked
LUV,-12.29,163.0
MU,-12.31,164.0
BAX,-12.48,165.0
RF,-12.6,166.0
CSX,-12.86,167.0
MSFT,-12.97,168.0
BBY,-13.08,169.0
OKE,-13.18,170.0
MA,-13.35,171.0
HLT,-13.76,172.0
MOS,-13.83,173.0
KR,-13.91,174.0
MDT,-13.95,175.0
TSLA,-14.05,176.5
FIS,-14.05,176.5
MRNA,-14.2,178.0
ABBV,-14.33,179.0
O,-14.97,180.0
STT,-15.55,181.0
UAA,-16.19,182.0
FDX,-16.43,183.0
XLNX,-17.0,184.0
CTSH,-17.01,185.0
SYY,-17.13,186.0
DOW,-17.5,187.0
AMCR,-17.77,188.0
IP,-17.92,189.0
MRO,-18.84,190.0
BA,-20.3,191.0
MDLZ,-20.57,192.0
CI,-20.92,193.0
JPM,-21.39,194.0
DVN,-21.71,195.0
COP,-22.0,196.0
AIG,-22.33,197.0
CSCO,-22.61,198.0
DISCK,-23.56,199.0
XRAY,-24.79,200.0
ABT,-24.98,201.0
SO,-25.99,202.0
NWL,-26.35,203.0
MET,-26.85,204.0
CNC,-27.2,205.0
INCY,-27.33,206.0
WMB,-28.81,207.0
CZR,-29.18,208.0
WU,-30.3,209.0
MPC,-30.55,210.0
FOXA,-32.15,211.0
VFC,-32.85,212.0
COF,-33.15,213.0
WFC,-33.27,214.0
EBAY,-33.28,215.0
F,-33.56,216.0
UPS,-33.64,217.0
NEM,-33.77,218.0
VRTX,-33.82,219.0
GS,-34.15,220.0
KIM,-35.7,221.0
MS,-36.92,222.0
CARR,-37.07,223.0
CAH,-37.91,224.0
OMC,-40.71,225.0
SCHW,-40.73,226.0
NWSA,-42.08,227.0
PM,-43.34,228.0
OXY,-43.88,229.0
IVZ,-52.2,230.0
MGM,-52.5,231.0
FCX,-53.78,232.0
LYB,-54.09,233.0
MNST,-54.36,234.0
MRK,-65.82,235.0
AEP,-66.3,236.0
FANG,-66.59,237.0
SYF,-67.07,238.0
UNH,-76.46,239.0
PFG,-78.7,240.0
LLY,-96.77,241.0
HST,-103.3,242.0
WYNN,-208.31,243.0
NUE,-955.49,244.0
