Stock,Accumulation/Distribution Value,Stocks_Ranked
MAS,-21.5,287.0
ADM,-21.55,288.0
UNH,-21.57,289.0
AMCR,-21.77,290.0
MO,-22.43,291.0
XOM,-22.47,292.0
KIM,-22.96,293.0
XEL,-23.03,294.0
MCD,-23.17,295.0
LMT,-23.54,296.0
PAYX,-23.82,297.0
CCI,-24.0,298.0
BAX,-24.06,299.0
PNR,-24.32,300.0
PPL,-24.45,301.0
SLB,-24.76,302.0
KEY,-24.97,303.0
CMA,-25.06,304.0
BK,-25.25,305.0
HBAN,-25.32,306.0
MSFT,-25.43,307.0
TPR,-25.6,308.0
ALK,-25.9,309.0
AKAM,-26.33,310.0
PBCT,-26.77,311.0
GE,-27.59,312.0
LHX,-27.74,313.0
LKQ,-27.76,314.0
ABBV,-28.61,315.0
SRE,-28.71,316.0
PKI,-29.62,317.0
MNST,-29.99,318.0
DFS,-30.36,319.0
PNW,-30.68,320.0
ALB,-32.54,321.0
CLX,-32.65,322.0
MAR,-33.09,323.0
TGT,-33.73,324.0
CDNS,-34.19,325.0
DHI,-35.37,326.0
TRV,-36.51,327.0
SPGI,-37.65,328.0
APTV,-38.17,329.0
HAL,-38.9,330.0
MCHP,-39.69,331.0
ICE,-40.26,332.0
D,-42.59,333.0
BLL,-43.02,334.0
PRU,-44.02,335.0
CI,-44.34,336.0
DHR,-44.78,337.0
ZBH,-45.42,338.0
BBY,-46.6,339.0
NTAP,-46.97,340.0
MMM,-48.03,341.0
VTRS,-49.08,342.0
ENPH,-49.73,343.0
AIG,-55.17,344.0
DIS,-56.03,345.0
CRM,-56.76,346.0
LEG,-57.63,347.0
ALL,-60.51,348.0
ZION,-63.3,349.0
FAST,-70.95,350.0
FDX,-73.86,351.0
XRAY,-82.31,352.0
ETSY,-86.15,353.0
AVGO,-94.53,354.0
DD,-94.8,355.0
LVS,-164.93,356.0
ROST,-235.06,357.0
QRVO,-640.8,358.0
