Stock,Accumulation/Distribution Value,Stocks_Ranked
ROL,-12.93,191.0
NEE,-13.08,192.0
MDLZ,-13.24,193.0
RTX,-13.84,194.0
RCL,-13.91,195.0
VIAC,-15.39,196.0
NWL,-15.97,197.0
JNJ,-16.04,198.0
MCHP,-16.41,199.0
VLO,-16.58,200.0
WFC,-16.63,201.0
TWTR,-16.84,202.0
CSCO,-17.21,203.0
SWKS,-17.38,204.0
DISCK,-17.47,205.0
NKE,-17.79,206.0
KMI,-18.22,207.0
INCY,-20.73,208.0
FANG,-21.82,209.0
HPQ,-21.91,210.0
VZ,-22.59,211.0
PYPL,-24.49,212.0
CMCSA,-24.54,213.0
CVS,-24.97,214.0
OKE,-25.25,215.0
TFC,-25.61,216.0
CFG,-29.11,217.0
SLB,-30.66,218.0
HAL,-31.13,219.0
MPC,-31.82,220.0
ENPH,-33.91,221.0
UAA,-35.24,222.0
CRM,-36.36,223.0
OXY,-38.14,224.0
DHR,-38.79,225.0
GIS,-45.92,226.0
GILD,-47.56,227.0
CCL,-48.12,228.0
VFC,-50.75,229.0
KIM,-52.53,230.0
LLY,-138.78,231.0
BSX,-840.86,232.0
