Stock,Accumulation/Distribution Value,Stocks_Ranked
NWL,-4.68,118.5
BKR,-4.68,118.5
GLW,-4.9,120.0
USB,-4.92,121.0
EXPE,-5.07,122.0
TMUS,-5.24,123.0
OKE,-5.27,124.0
HAL,-5.41,125.0
SPG,-5.46,126.0
SLB,-5.64,127.0
TWTR,-5.75,128.0
FE,-5.86,129.0
NEM,-5.94,130.0
CNC,-5.96,131.0
NEE,-6.09,132.0
AMAT,-6.18,133.0
DISCA,-6.61,134.0
DUK,-6.69,135.0
ETSY,-6.8,136.0
VIAC,-6.86,137.0
NKE,-6.88,138.0
PLD,-6.92,139.0
C,-7.05,140.0
CERN,-7.24,141.0
NWSA,-7.37,142.0
UA,-7.45,143.0
WELL,-7.49,144.0
LEN,-7.66,145.0
IP,-7.82,146.0
MCD,-7.84,147.0
MDLZ,-8.07,148.0
OMC,-8.19,149.0
UAL,-8.26,150.0
TSN,-8.29,151.0
EMR,-8.47,152.0
KO,-8.58,153.0
SYY,-9.06,154.0
PEAK,-9.17,155.0
QCOM,-9.23,156.0
MDT,-9.29,157.0
CNP,-9.44,158.0
VTRS,-9.5,159.0
KIM,-9.54,160.0
HWM,-9.55,161.0
MU,-9.85,162.0
NLSN,-10.0,163.0
PBCT,-10.08,164.0
INCY,-10.22,165.0
PFE,-10.53,166.0
CSCO,-10.61,167.0
TPR,-10.79,168.0
O,-10.86,169.0
COST,-10.99,170.0
WMB,-11.18,171.0
FOXA,-11.24,172.0
FTV,-11.34,173.0
MGM,-11.69,174.0
ROST,-11.91,175.0
KMI,-11.95,176.0
PHM,-12.55,177.5
FISV,-12.55,177.5
SBUX,-13.05,179.0
UNH,-13.54,180.0
VFC,-13.55,181.0
CSX,-13.63,182.0
T,-13.75,183.0
EXC,-13.8,184.0
PM,-14.05,185.0
LOW,-14.19,186.0
DISCK,-14.7,187.0
ADBE,-16.05,188.0
BBY,-16.26,189.0
GM,-16.41,190.0
UPS,-16.42,191.0
HD,-16.66,192.0
EOG,-17.3,193.0
CVX,-18.9,194.0
VZ,-19.06,195.0
BBWI,-19.08,196.0
BK,-20.3,197.0
FIS,-20.48,198.0
NUE,-22.1,199.0
DHR,-24.07,200.0
WDC,-24.42,201.0
RF,-24.49,202.0
AMZN,-24.63,203.0
K,-25.46,204.0
GILD,-25.61,205.0
CAT,-25.86,206.0
WFC,-26.05,207.0
ATVI,-26.89,208.0
MTCH,-27.03,209.0
DOW,-27.37,210.0
AFL,-27.89,211.0
HBI,-28.16,212.0
XRAY,-29.1,213.0
XLNX,-29.62,214.0
PENN,-30.15,215.0
JCI,-31.32,216.0
GPN,-31.65,217.0
MSFT,-31.81,218.0
CB,-32.01,219.0
BA,-33.28,220.0
CARR,-33.77,221.0
EW,-34.47,222.0
SO,-35.25,223.0
WY,-37.02,224.0
SCHW,-39.1,225.0
DIS,-39.54,226.0
MNST,-39.64,227.0
AAL,-44.16,228.0
TGT,-46.12,229.0
ACN,-46.21,230.0
AEP,-51.93,231.0
FB,-54.14,232.0
MET,-55.91,233.0
DXC,-57.54,234.0
MOS,-57.69,235.0
AXP,-58.22,236.0
DAL,-58.81,237.0
TXN,-91.73,238.0
MAR,-173.69,239.0
XEL,-812.23,240.0
